"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"Pval_threshold"	"FC1.2_threshold"	"FC1.5_threshold"
"ING3"	718.340901199287	0.398106831490737	0.0933551752676246	4.2644323718473	2.00411031676613e-05	0.000232297397538097	TRUE	FALSE	FALSE
"LMCD1"	55.8009151931908	-1.13027208834251	0.259097542877408	-4.36234198051542	1.28677521937423e-05	0.000157452980726666	TRUE	FALSE	FALSE
"TCF3"	11344.4618695446	-0.250724357358026	0.0504043591536726	-4.97425940073196	6.54975556982222e-07	1.13808023021589e-05	TRUE	FALSE	FALSE
"TRIB2"	34.0717542073375	-0.910861475771515	0.352197226631803	-2.58622557730631	0.00970334034218051	0.042054481698515	TRUE	FALSE	FALSE
"DAZAP1"	15284.6924570245	-0.226833062977714	0.054252947706676	-4.18102743843725	2.90194839435907e-05	0.000318961246484641	TRUE	FALSE	FALSE
"PDCD2"	3043.81146837369	0.175777401660883	0.0570585613531268	3.08064902956496	0.00206549959962706	0.0120683054963009	TRUE	FALSE	FALSE
"RDH11"	4338.91975262005	0.157259700789902	0.0565611857097238	2.78034660724707	0.00543009065009377	0.0266569368319976	TRUE	FALSE	FALSE
"ADGRL1"	4859.85220667661	-0.143672238253883	0.0501066611935823	-2.86732811230066	0.00413953599248621	0.0213178774006951	TRUE	FALSE	FALSE
"ACTN1"	62132.375965606	-0.340855833778899	0.0550284453411544	-6.19417524274453	5.85910107811427e-10	1.95489023144553e-08	TRUE	FALSE	FALSE
"EPN2"	5601.12860064708	-0.206111211319019	0.0516095810357589	-3.9936617810598	6.50606509891883e-05	0.000637937224509366	TRUE	FALSE	FALSE
"PTPN18"	5083.35890166101	0.155296319370445	0.0520302442627055	2.98473169924669	0.00283827155164673	0.0156664302726661	TRUE	FALSE	FALSE
"LNX1"	3260.31503257717	-0.22035116348006	0.0602896001039251	-3.65487850475417	0.000257303798427272	0.00210031446859568	TRUE	FALSE	FALSE
"ALDH3A2"	2573.03408535056	0.38387144247735	0.0662092655447621	5.79785078899307	6.71701738161153e-09	1.77619488905875e-07	TRUE	FALSE	FALSE
"TFRC"	24790.590058745	-0.534088573395922	0.0665599650640393	-8.02417148028937	1.0221343827189e-15	9.20164309776231e-14	TRUE	FALSE	FALSE
"UBE2D1"	718.863833322463	0.295483934979817	0.086111678000356	3.43140375198118	0.000600466166307943	0.0042757030156032	TRUE	FALSE	FALSE
"TRHDE"	1836.7189887858	-0.25121679070742	0.0860073130927536	-2.92087709374781	0.00349047497504122	0.0185079933299268	TRUE	FALSE	FALSE
"P4HA2"	10154.1710055562	-0.215185076940907	0.0494405242498736	-4.35240281541831	1.34653566883791e-05	0.000163916656918098	TRUE	FALSE	FALSE
"NFATC3"	4815.7825507885	0.225863138262528	0.0556433942843683	4.05911862795867	4.9258286151296e-05	0.000501084258399206	TRUE	FALSE	FALSE
"ACADVL"	17065.4265569345	-0.128043217963891	0.0482698155417826	-2.65265604450168	0.00798612043452015	0.0361883046056096	TRUE	FALSE	FALSE
"STK10"	8487.19047917248	-0.394593164301203	0.0527071573230339	-7.48651956095456	7.07240082264162e-14	4.5788951216452e-12	TRUE	FALSE	FALSE
"EVC"	336.974360807836	0.400705879291821	0.133033293453757	3.01207215794525	0.00259470911611334	0.0145471458600601	TRUE	FALSE	FALSE
"PVR"	983.331834260066	-0.207434812584588	0.074928538490886	-2.76843532200778	0.00563261643171816	0.02742344921161	TRUE	FALSE	FALSE
"SCARB1"	88.4996154584779	-0.573566691526253	0.220498333982143	-2.60122913932177	0.00928903863025763	0.0406691235074156	TRUE	FALSE	FALSE
"MCM2"	17882.8233385685	-0.264083978811955	0.0542688401988607	-4.86621748031201	1.13754339216322e-06	1.84095940968286e-05	TRUE	FALSE	FALSE
"PANX2"	396.685667481102	-0.521090665486705	0.107086454945169	-4.86607447929356	1.13836633161559e-06	1.84095940968286e-05	TRUE	FALSE	FALSE
"TP63"	7665.96493240645	-0.229131973360643	0.0584021868426048	-3.92334578118041	8.73276737037739e-05	0.000822176131160282	TRUE	FALSE	FALSE
"LLGL2"	3095.03677374681	0.390679952909592	0.0623740997766176	6.26349645620132	3.76439714336002e-10	1.29864832108068e-08	TRUE	FALSE	FALSE
