"logFC"	"logCPM"	"PValue"	"FDR"	"Pval_threshold"	"FC1.2_threshold"	"FC1.5_threshold"
"COL27A1"	-0.909819243839403	7.20980678913726	1.04069837784444e-62	4.2986964760139e-60	TRUE	FALSE	FALSE
"NRN1"	-1.13820845306801	7.84671148508742	1.91139904072007e-62	7.74337157534787e-60	TRUE	FALSE	FALSE
"TGM2"	-1.53074150281547	3.04771900614088	6.99980743303097e-62	2.78222534687227e-59	TRUE	TRUE	TRUE
"PLA2G2F"	-1.58805084858417	3.26101534593271	5.16823226473757e-61	2.01618483127707e-58	TRUE	TRUE	TRUE
"HAPLN3"	-1.04393207708683	6.96632245801373	2.20789255320368e-60	8.45662991377976e-58	TRUE	FALSE	FALSE
"CEBPD"	-1.22537186502058	6.08924178432634	2.40110227105247e-60	9.03243222178416e-58	TRUE	TRUE	FALSE
"TMPRSS4"	-1.84805013620609	2.39792177424382	2.76759373817068e-60	1.02284438049655e-57	TRUE	TRUE	TRUE
"PALM2-AKAP2"	-1.19201633537397	6.92795324328251	1.58377431708722e-59	5.75237754547576e-57	TRUE	FALSE	FALSE
"PTGIS"	-2.29312734448777	1.65719432609715	4.65408794921959e-59	1.66174604641118e-56	TRUE	TRUE	TRUE
"CALHM2"	-1.21775108599665	4.95413998500018	5.36162488810001e-59	1.88246649821191e-56	TRUE	TRUE	FALSE
"NDRG1"	-1.06291436405016	8.87293260061757	7.31572113540209e-59	2.52644231866197e-56	TRUE	FALSE	FALSE
"ACTN1"	-0.938081950465014	9.42151633968894	1.08491360737704e-58	3.68625646016204e-56	TRUE	FALSE	FALSE
"WNT6"	1.2208102806246	4.23522867492014	3.78632608922509e-58	1.26607532373993e-55	TRUE	TRUE	FALSE
"LDLRAD3"	-0.958823270275656	6.77946173412585	7.30265202041793e-58	2.40371355409569e-55	TRUE	FALSE	FALSE
"GRIK4"	-1.82802080821395	2.43476839560641	2.66058483262879e-57	8.62275078217818e-55	TRUE	TRUE	TRUE
"NTN1"	-0.861004240795406	6.66893260787334	5.29550039703484e-57	1.68726522607318e-54	TRUE	FALSE	FALSE
"PLCD4"	-1.39261084412157	3.53783405720848	5.36631397260528e-57	1.68726522607318e-54	TRUE	TRUE	FALSE
"MTSS1L"	-0.879581029582233	8.49289585353447	5.49661231016142e-57	1.70281816067442e-54	TRUE	FALSE	FALSE
"SLC2A10"	-0.797837693186064	7.84698265254065	8.34501227087382e-57	2.54776852895983e-54	TRUE	FALSE	FALSE
"NPAS2"	-0.917767473654122	5.30159222516802	1.99869143702503e-56	6.01491911605276e-54	TRUE	FALSE	FALSE
"GRB10"	-0.828283889264628	6.31407498707896	2.91681032364347e-56	8.6542994757568e-54	TRUE	FALSE	FALSE
"SMPD1"	1.5398283794967	2.69417803547202	6.10382582737371e-56	1.78587770665909e-53	TRUE	TRUE	TRUE
"ETV4"	-1.19369922032821	3.62259953828924	3.2591491210493e-55	9.40510073753761e-53	TRUE	FALSE	FALSE
"MEX3B"	-0.888455323528604	5.53228290103207	1.1077097726139e-54	3.1533802797141e-52	TRUE	FALSE	FALSE
"TNFSF10"	-0.918339062788707	7.58081663405974	1.68004047253518e-54	4.71889767925681e-52	TRUE	FALSE	FALSE
"PHC1"	-0.811394150552801	8.52456007476271	2.56990918814077e-54	7.12338249439124e-52	TRUE	FALSE	FALSE
"STBD1"	-0.918417887225034	6.3081573021027	3.77402352188192e-54	1.0325140196359e-51	TRUE	FALSE	FALSE
"MACF1"	-0.903684927431822	7.92911600678577	7.33605374314477e-54	1.98129882247548e-51	TRUE	FALSE	FALSE
"FOXO1"	-0.987927088370743	5.44983776822238	3.28776127843584e-53	8.76708596095308e-51	TRUE	FALSE	FALSE
"SH3BP4"	-0.906897235527301	7.28690997441253	3.85280333158005e-53	1.01453943728832e-50	TRUE	FALSE	FALSE
"TRIB1"	-0.819676540917867	6.09241367796209	2.30048440644742e-52	5.98296351928658e-50	TRUE	FALSE	FALSE
"FYTTD1"	1.066487254471	4.20322585483837	2.68603619730059e-52	6.90049250394319e-50	TRUE	FALSE	FALSE
"GPT2"	-1.09604849621295	6.64610007461238	2.9335582349954e-52	7.44558286486906e-50	TRUE	FALSE	FALSE
"MTHFD1L"	-0.915127717596932	6.69323355932353	3.42512818197385e-52	8.58973217636441e-50	TRUE	FALSE	FALSE
"ADARB1"	0.942279194722603	5.26709770209087	4.2586318129712e-52	1.05543926790649e-49	TRUE	FALSE	FALSE
"UBASH3B"	-0.885947518380229	6.67042050551949	4.69157649060506e-52	1.14921802733821e-49	TRUE	FALSE	FALSE
"LNX1"	-0.993348395491325	5.17080438951087	1.0893822632978e-51	2.6378076734059e-49	TRUE	FALSE	FALSE
"SWAP70"	-0.793886437112962	6.72594186690146	3.24548126837774e-51	7.7692395908688e-49	TRUE	FALSE	FALSE
"PPP1R15A"	-0.917029006435234	6.49048069859331	4.42279054570772e-51	1.04685961388628e-48	TRUE	FALSE	FALSE
"PLEKHG1"	-0.965268538070168	5.7368262522926	5.30836931061289e-51	1.24251230997079e-48	TRUE	FALSE	FALSE
"EPAS1"	-0.871803598341811	8.55353970767577	7.17445151307478e-51	1.66084610521355e-48	TRUE	FALSE	FALSE
"STK24"	-0.857749403186482	7.83941369369231	1.11459817773909e-50	2.55218752307084e-48	TRUE	FALSE	FALSE
"NECTIN4"	-0.844362846080991	10.1391999395111	2.91257752480327e-50	6.59745786424791e-48	TRUE	FALSE	FALSE
"CYP1A1"	-1.58243706813941	3.40460738657452	3.6379919401306e-50	8.15297215008418e-48	TRUE	TRUE	TRUE
"LMO2"	-1.13080497380569	4.83932672565071	8.98189797656023e-50	1.99171223972861e-47	TRUE	FALSE	FALSE
"AXIN2"	-0.799593922428646	7.76541737806628	1.55429754553433e-49	3.4107116764819e-47	TRUE	FALSE	FALSE
"CDYL2"	-0.852163259614305	6.02196909104639	1.87258228932754e-49	4.0667854130901e-47	TRUE	FALSE	FALSE
"CMIP"	-0.911173390159094	7.42550033221431	3.89562441819995e-49	8.37400244834696e-47	TRUE	FALSE	FALSE
"PLAC8"	-0.88343541816732	7.49585334817627	4.88810182171985e-49	1.04012881794293e-46	TRUE	FALSE	FALSE
"MYL3"	-1.54526545043055	2.69197798453534	5.04734084765662e-49	1.06327282296734e-46	TRUE	TRUE	TRUE
"FAM47E-STBD1"	-0.900146956759147	6.16914759794161	6.15695641341993e-49	1.28418261193172e-46	TRUE	FALSE	FALSE
"OSBPL6"	-1.0990366602619	4.22922906848297	1.15174675511499e-48	2.37869579835808e-46	TRUE	FALSE	FALSE
"SLC20A2"	-0.770333565869838	7.37568884114534	1.2227115068137e-48	2.50074180607159e-46	TRUE	FALSE	FALSE
"FAM234A"	0.757025208759477	6.62537833172942	1.26105288843422e-48	2.55435962959185e-46	TRUE	FALSE	FALSE
"ATF3"	-0.926077699599736	6.19795032750139	1.40694602379331e-48	2.82273570830761e-46	TRUE	FALSE	FALSE
"MBP"	-0.978635831594005	5.52746677903026	1.59483377144896e-48	3.16950643673054e-46	TRUE	FALSE	FALSE
"ITGA6"	-0.734859892389293	8.5075291871084	2.51850992618458e-48	4.9584046827107e-46	TRUE	FALSE	FALSE
"COLQ"	-1.05921453107194	4.10685844840828	2.74025728085268e-48	5.34502406281876e-46	TRUE	FALSE	FALSE
"VAX2"	1.08099040180919	3.78302166795119	3.14720274457969e-48	6.08247458874456e-46	TRUE	FALSE	FALSE
"TANC2"	-0.944274148805544	8.31389827535131	3.23527278802498e-48	6.19584150477584e-46	TRUE	FALSE	FALSE
"FLT4"	-0.781501298781251	7.89075535009477	3.9959134818536e-48	7.5835958025881e-46	TRUE	FALSE	FALSE
"HK2"	-1.05469011931582	9.834230779143	6.90574483347644e-48	1.2988966130537e-45	TRUE	FALSE	FALSE
"SLC2A1"	-0.93556330000035	11.3262413141556	8.03797876874889e-48	1.49847841365012e-45	TRUE	FALSE	FALSE
"A2ML1"	-0.969928713855086	5.05206794982594	1.05631956728945e-47	1.9519673688175e-45	TRUE	FALSE	FALSE
"TNFRSF19"	-1.35493085767646	2.8992199119139	1.35612289753206e-47	2.48418130081828e-45	TRUE	TRUE	FALSE
"ADM"	-1.35577766101508	6.85468470309358	1.47728121590871e-47	2.6827936288218e-45	TRUE	TRUE	FALSE
"PARD3"	-0.816173578082938	7.90182036511182	1.62751544748974e-47	2.93036242878793e-45	TRUE	FALSE	FALSE
"ATP6V1B1"	1.09873689140586	3.70406402022161	1.84268145483778e-47	3.28965487522141e-45	TRUE	FALSE	FALSE
"AVPI1"	-1.03655728500663	4.57911233688363	1.98114444235684e-47	3.50712511115035e-45	TRUE	FALSE	FALSE
"MAFF"	-1.13835396615025	3.73235703107251	2.83301032971819e-47	4.97334963382029e-45	TRUE	FALSE	FALSE
"FGD3"	-0.936810899041303	4.44528910126329	5.15596687746113e-47	8.97649572236332e-45	TRUE	FALSE	FALSE
"EPS8L1"	-0.89037109956245	5.90857992430868	6.49628213723442e-47	1.12172688117197e-44	TRUE	FALSE	FALSE
"SLC7A5"	-0.964270639962332	9.91747627531613	7.24496556166412e-47	1.24083288229282e-44	TRUE	FALSE	FALSE
"AP001065.15"	-0.873846618454956	9.31996765002662	8.80982255070457e-47	1.49667517623502e-44	TRUE	FALSE	FALSE
"ICK"	-0.944300897713448	6.76037733361036	2.05540711475486e-46	3.46393650235407e-44	TRUE	FALSE	FALSE
"PICALM"	-0.786719712027199	8.64267135133671	2.10855565958816e-46	3.52530424800668e-44	TRUE	FALSE	FALSE
"SMIM3"	-0.72905297555594	6.5933088504204	2.7792084516406e-46	4.60998466474495e-44	TRUE	FALSE	FALSE
"GRAMD1B"	-1.0514596599027	4.56047452619209	3.11428388178858e-46	5.12543001982487e-44	TRUE	FALSE	FALSE
"SPNS2"	-0.887598189049786	5.45872914359087	6.24541908538127e-46	1.01989146087319e-43	TRUE	FALSE	FALSE
"AKR1B1"	-0.800040712860363	9.39328338534379	6.62844198024529e-46	1.07411352889113e-43	TRUE	FALSE	FALSE
