"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"Pval_threshold"	"FC1.2_threshold"	"FC1.5_threshold"
"CD74"	11.0584006673852	-0.0789650084903974	0.695997363456341	-0.113455901755511	0.909669122573473	0.956050004955641	FALSE	FALSE	FALSE
"ZRANB1"	2381.77612972176	0.183220796206652	0.0521757160069861	3.51161057726777	0.000445400127287843	0.00331116374611745	TRUE	FALSE	FALSE
"NCDN"	1507.75024361672	0.149868590342885	0.0712069713999317	2.10468985545183	0.0353183141157053	0.115487097594242	FALSE	FALSE	FALSE
"ADGRA2"	331.753006581659	-0.545629477793432	0.147054364523611	-3.7103929527085	0.000206937786958207	0.00173642204280733	TRUE	FALSE	FALSE
"ZFP64"	5531.04999004061	-0.00383037734387888	0.063773108652371	-0.0600625784883465	0.952105794169596	0.976964331109349	FALSE	FALSE	FALSE
"MNAT1"	2247.61661760967	0.0936464700834704	0.0790085235950704	1.18527047237867	0.235910524237247	0.445388371642191	FALSE	FALSE	FALSE
"SAMD4A"	4319.51079231071	-0.134426240371087	0.0628779849531976	-2.13789039949588	0.0325256396264344	0.108715915335527	FALSE	FALSE	FALSE
"MRE11A"	3197.87517756139	-0.146748068523972	0.0712497906138403	-2.05962806710994	0.0394341109108308	0.125505364775969	FALSE	FALSE	FALSE
"SERPINB1"	8079.17213506256	0.0394403825911869	0.0576973258244274	0.683573840340603	0.494244308147945	0.697602556781909	FALSE	FALSE	FALSE
"SLC7A9"	2480.96081193951	-0.384543741535116	0.0676658958243553	-5.68297717558194	1.32369940614024e-08	3.34552637340657e-07	TRUE	FALSE	FALSE
"SPAST"	1861.23560921481	0.201048422910933	0.0621939106754286	3.2326062266794	0.00122666520047325	0.00782128351262958	TRUE	FALSE	FALSE
"AQR"	5081.49225654752	0.114716174412926	0.0549959668069538	2.08590158648545	0.0369875385627904	0.119693498207729	FALSE	FALSE	FALSE
"CPS1"	8317.3983690776	0.0756707561596444	0.0485199737429891	1.55957949525021	0.11885928519457	0.281877146892639	FALSE	FALSE	FALSE
"RTFDC1"	6603.28772928687	-0.0376350831409937	0.0582676413087994	-0.645900233742775	0.518343968234249	0.717056396858516	FALSE	FALSE	FALSE
"NLRP2"	3114.12740228706	0.0892524173759198	0.0784509243784975	1.13768471286978	0.255252159049257	0.469684842011506	FALSE	FALSE	FALSE
"SLC45A4"	2948.87484708371	-0.0347349686204124	0.0560663468755609	-0.619533295035373	0.535565094963077	0.73119506898801	FALSE	FALSE	FALSE
