"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"Pval_threshold"	"FC1.2_threshold"	"FC1.5_threshold"
"ACKR3"	-0.802542672737674	4.45024573951459	-13.537533909276	4.44503164111958e-11	2.22950087028155e-08	15.6564807893959	TRUE	FALSE	FALSE
"FAM234A"	0.603096284594543	6.59569271616207	13.5483958555878	4.38492717274752e-11	2.22950087028155e-08	15.6452394021987	TRUE	FALSE	FALSE
"FLVCR1"	-0.621560239787605	6.43272316208398	-13.4534874005987	4.94033669811108e-11	2.31858260255506e-08	15.5272761685774	TRUE	FALSE	FALSE
"ADCY5"	-1.30826854778105	2.20997422240328	-13.6500166340326	3.8622123443315e-11	2.03403413114218e-08	15.4929110721746	TRUE	TRUE	FALSE
"RNF144B"	-0.708113302000267	4.39581749808581	-13.2767820386863	6.18010286807669e-11	2.7700010004022e-08	15.3312799451041	TRUE	FALSE	FALSE
"TMPRSS4"	-1.20135716192994	2.23730092152329	-13.5085919976933	4.60943728767186e-11	2.25819548609524e-08	15.2890406746852	TRUE	TRUE	FALSE
"SLC1A3"	-0.71047714388299	6.76978166466913	-13.2523415831478	6.37570898047637e-11	2.79813927880657e-08	15.2634529621189	TRUE	FALSE	FALSE
"CALB2"	-1.01058733094021	4.69421862792681	-13.1712374875543	7.07266245860822e-11	3.04066749700083e-08	15.1978459586229	TRUE	FALSE	FALSE
"AC106706.1"	-1.22913346163463	2.1293483212772	-13.4340552423955	5.06288805266937e-11	2.31858260255506e-08	15.0904611927292	TRUE	TRUE	FALSE
"GUCA2A"	-1.63660936034763	2.01051411306595	-13.4490702561827	4.96791812894149e-11	2.31858260255506e-08	14.985013920617	TRUE	TRUE	TRUE
"INPP5D"	-1.14712936683164	4.3059123615231	-12.9887471131259	8.9493644630618e-11	3.7705462355772e-08	14.9645510450015	TRUE	FALSE	FALSE
"KCNAB2"	-0.63389604131295	4.6404369960425	-12.8382347016305	1.08886113121519e-10	4.3279148283357e-08	14.7703302672642	TRUE	FALSE	FALSE
"SLC15A2"	-1.31285179314444	2.88322685140361	-12.886812668693	1.02186270479225e-10	4.2208940665007e-08	14.7295618534392	TRUE	TRUE	FALSE
"C3orf52"	-0.614217483706365	5.25887241144609	-12.7330176402729	1.25025655495643e-10	4.87738973828003e-08	14.6159878410762	TRUE	FALSE	FALSE
"P2RY2"	-1.10156945294137	3.74617232323648	-12.6999098255463	1.30608034785963e-10	4.90301409430937e-08	14.5771608396528	TRUE	FALSE	FALSE
"DCXR"	0.580883831655936	6.24244232449241	12.6929747992965	1.31810102515569e-10	4.90301409430937e-08	14.5421039470978	TRUE	FALSE	FALSE
"TNFSF10"	-0.655967821721153	7.54080361751558	-12.6880836666203	1.32664864414523e-10	4.90301409430937e-08	14.5038958504603	TRUE	FALSE	FALSE
