"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"Pval_threshold"	"FC1.2_threshold"	"FC1.5_threshold"
"MYEOV"	-1.84941007042045	4.45355028095409	-19.2749860629159	9.47799559850511e-14	5.08697070738624e-11	21.6750824848237	TRUE	TRUE	TRUE
"DLX5"	-0.984334396847356	6.02691884291553	-19.1761887484914	1.03835441193206e-13	5.08697070738624e-11	21.6718910623336	TRUE	FALSE	FALSE
"COL27A1"	-0.909223126843517	7.17141714825506	-19.1816722391059	1.03309733793317e-13	5.08697070738624e-11	21.6704576438215	TRUE	FALSE	FALSE
"DPEP1"	-1.18343639144635	6.63215742478056	-19.1117512038517	1.10228164089477e-13	5.27742387433844e-11	21.6093691837275	TRUE	FALSE	FALSE
"SPRY4"	-2.28931846201326	2.74061307523599	-20.1071430047775	4.46769836772305e-14	2.68904382327011e-11	21.5981708390454	TRUE	TRUE	TRUE
"STAB2"	-1.08153183396377	5.08360430606628	-19.0712571310161	1.14456096974434e-13	5.35807141969652e-11	21.5639070113287	TRUE	FALSE	FALSE
"NOCT"	-0.992513720511115	7.29717548643784	-18.9657943195016	1.26287303753456e-13	5.78340943667458e-11	21.4676517263166	TRUE	FALSE	FALSE
"ACTN1"	-0.937642037256158	9.38425700125385	-18.9043207108612	1.33770647196938e-13	5.87085927885562e-11	21.3894258270619	TRUE	FALSE	FALSE
"SLC2A10"	-0.797181385499477	7.81598952342954	-18.847913672812	1.41047792946457e-13	6.06390368614298e-11	21.3501952592049	TRUE	FALSE	FALSE
"TMOD1"	-1.67630338088184	4.14742740863331	-18.9163953541499	1.32264805376872e-13	5.87085927885562e-11	21.3268572125414	TRUE	TRUE	TRUE
"ST3GAL1"	-0.983780889823321	6.1134293658069	-18.7016599019434	1.61922458440763e-13	6.82211701902625e-11	21.2287429403479	TRUE	FALSE	FALSE
"WNT6"	1.22329343808299	4.15580880197235	18.5863719592614	1.80657625834432e-13	7.45455970190088e-11	21.0771928819013	TRUE	TRUE	FALSE
"MTSS1L"	-0.87905180048018	8.45853620685051	-18.5470966885817	1.87549446596766e-13	7.45455970190088e-11	21.0570736179696	TRUE	FALSE	FALSE
"PHC1"	-0.811902915713837	8.49643854620424	-18.5131106194406	1.93736170219802e-13	7.55786326268584e-11	21.0237473092513	TRUE	FALSE	FALSE
"NDRG1"	-1.06367329222656	8.81952952681642	-18.2143842589737	2.5829375177454e-13	9.54599328926746e-11	20.729243885653	TRUE	FALSE	FALSE
"HAPLN3"	-1.04542237028916	6.91218917942203	-18.1882612865377	2.64925585285551e-13	9.61811122533928e-11	20.7259503351931	TRUE	FALSE	FALSE
"NTN1"	-0.859753087359747	6.63683186474369	-18.1605539847644	2.72155548838914e-13	9.61811122533928e-11	20.7026264534513	TRUE	FALSE	FALSE
"NRN1"	-1.13550259039573	7.79037994375832	-18.1538261256188	2.73942216614619e-13	9.61811122533928e-11	20.6827223340746	TRUE	FALSE	FALSE
"GRB10"	-0.82644153381138	6.28086523155873	-18.1321257658016	2.7978949647898e-13	9.66236972594457e-11	20.6803493467175	TRUE	FALSE	FALSE
"OLR1"	-1.75281844480946	2.93112602670967	-18.4586174334986	2.04107646226543e-13	7.81769395528792e-11	20.6522781543027	TRUE	TRUE	TRUE
