"logFC"	"logCPM"	"PValue"	"FDR"	"Pval_threshold"	"FC1.2_threshold"	"FC1.5_threshold"
"AC106706.1"	-1.22928667721229	2.23472253936284	5.87750270446466e-30	2.42775435239711e-27	TRUE	TRUE	FALSE
"GDF15"	-0.747951201552361	7.42261032142579	1.87688961390153e-29	7.60356857816338e-27	TRUE	FALSE	FALSE
"TNFSF10"	-0.657993446656119	7.58081663405974	3.88079534578012e-29	1.54250631611706e-26	TRUE	FALSE	FALSE
"EDN2"	-1.81602016398733	1.28394308890068	5.32785156660896e-29	2.07845409448489e-26	TRUE	TRUE	TRUE
"PLEKHA6"	-0.625823419200951	6.77628624817726	1.72759741038259e-28	6.61701219038539e-26	TRUE	FALSE	FALSE
"ABCA4"	-0.671619626565199	5.29850232579885	3.07710958287989e-28	1.15754268701693e-25	TRUE	FALSE	FALSE
"DCXR"	0.581159881136469	6.26065279193074	6.31363483038494e-28	2.33338651468227e-25	TRUE	FALSE	FALSE
"ZNF532"	-0.829737505169598	4.43655398883064	6.47215131947645e-28	2.35072999476019e-25	TRUE	FALSE	FALSE
"SAA1"	-1.45545152051238	2.2755368204411	1.04138928065678e-27	3.71828925191793e-25	TRUE	TRUE	FALSE
"C3orf52"	-0.614633449520001	5.30344943375083	1.64392954577373e-27	5.77183663521158e-25	TRUE	FALSE	FALSE
"GPR87"	-0.678118771283886	4.92737965337535	1.89735112192396e-27	6.55239323515575e-25	TRUE	FALSE	FALSE
"RASAL1"	-1.26462326983271	2.0630259434887	1.92901293661485e-27	6.55428814882718e-25	TRUE	TRUE	FALSE
"ADGRE2"	-0.772174838515671	5.55829870045654	1.97347692918119e-27	6.59893095081444e-25	TRUE	FALSE	FALSE
"RNF144B"	-0.706096655980321	4.47671086589148	2.67721733305663e-27	8.8122281778392e-25	TRUE	FALSE	FALSE
"RP11-800A3.4"	-1.22581418606549	2.63164212124627	3.12692668632157e-27	1.01341288575462e-24	TRUE	TRUE	FALSE
"AIM1"	-0.791230864357962	4.7725871762835	3.68862278561968e-27	1.17734132730097e-24	TRUE	FALSE	FALSE
"DPEP1"	-0.720922458555597	6.6940494376394	3.87913305244862e-27	1.21966890869974e-24	TRUE	FALSE	FALSE
"KCNAB2"	-0.634138012938645	4.65833760509646	8.39523585963086e-27	2.60079468557329e-24	TRUE	FALSE	FALSE
"AKR1B1"	-0.597424708044728	9.39328338534379	1.63058668563032e-26	4.97825204630265e-24	TRUE	FALSE	FALSE
"GPRC5A"	-1.19810140139655	4.25621907972588	2.60694763381246e-26	7.84542269341332e-24	TRUE	FALSE	FALSE
"AC090505.6"	-1.14051860513415	2.49148562067633	7.33725019928315e-26	2.17699313659294e-23	TRUE	FALSE	FALSE
"FOSL2"	-0.592175074700428	9.32718054786086	8.12584713282856e-26	2.37748744028009e-23	TRUE	FALSE	FALSE
"NOL4L"	-0.773929851805022	5.03810929985493	8.81779533146058e-26	2.54459830756916e-23	TRUE	FALSE	FALSE
"OLFML1"	-0.721923888067022	4.4626068088123	1.04975133651448e-25	2.98838671013704e-23	TRUE	FALSE	FALSE
"JADE2"	-0.68316055392355	5.64146949162416	1.47134728171327e-25	4.13272024487623e-23	TRUE	FALSE	FALSE
"PLCD4"	-0.870047462733485	3.53783405720848	1.10682318391674e-24	3.06793910426184e-22	TRUE	FALSE	FALSE
"NAV2"	-0.645314736738454	8.11928577858366	3.81483865055898e-24	1.04368040276202e-21	TRUE	FALSE	FALSE
"CASQ1"	-0.646983956984149	4.81714658976109	7.04395156080806e-24	1.90240876384593e-21	TRUE	FALSE	FALSE
"IL6"	-1.77987637255835	1.31648271253328	9.28536657957869e-24	2.46992194289782e-21	TRUE	TRUE	TRUE
"CSRNP2"	0.547961280043427	5.51394327394278	9.37974724351209e-24	2.46992194289782e-21	TRUE	FALSE	FALSE
"NLRP9"	-1.34177780678557	3.28733633607179	1.41353521069078e-23	3.67623861091505e-21	TRUE	TRUE	FALSE
"TNFRSF19"	-0.901814712490523	2.8992199119139	2.39667428496918e-23	6.15711469355618e-21	TRUE	FALSE	FALSE
"FOSL1"	-0.84379302061179	3.61007049938337	3.01510713667667e-23	7.65255987243744e-21	TRUE	FALSE	FALSE
"ANXA8"	-0.714408492730262	4.84389105235726	4.65843037829278e-23	1.16826778987043e-20	TRUE	FALSE	FALSE
"SERPINB9"	-0.580023833252068	9.4326390514038	1.30152422595172e-22	3.22563639339987e-20	TRUE	FALSE	FALSE
