"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"Pval_threshold"	"FC1.2_threshold"	"FC1.5_threshold"
"HIVEP2"	1137.57243097196	-0.393010511601442	0.0781215324582934	-5.03075783633991	4.88544896882598e-07	2.98488480326231e-06	TRUE	FALSE	FALSE
"TCEB3"	2659.8865371763	-0.11443803177008	0.0597043841107343	-1.91674419683872	0.0552704374182002	0.113952285018036	FALSE	FALSE	FALSE
"LYPLA2"	5764.78731411342	0.154205934482951	0.0607254795292646	2.53939426544399	0.0111044605144056	0.0290753646159763	TRUE	FALSE	FALSE
"CLCN6"	1590.23968812891	-0.275102711906231	0.0621501001489954	-4.42642427360076	9.58079947498506e-06	4.82855231516932e-05	TRUE	FALSE	FALSE
"MRC2"	500.260394076208	0.891394145016961	0.0978963026584002	9.10549347432861	8.5875145463862e-20	2.14172823007546e-18	TRUE	FALSE	FALSE
"NME1-NME2"	53542.7062947809	-0.166089470886936	0.0557051831704063	-2.98158019477032	0.0028676492974886	0.00876819058907978	TRUE	FALSE	FALSE
"TSPAN9"	10061.7485191075	-0.0819918484116713	0.0556088648274006	-1.47443844908826	0.140363578590118	0.242877875592971	FALSE	FALSE	FALSE
"BTBD7"	739.943271006095	-0.188065579048396	0.265267729903869	-0.708965161787866	0.478346096333497	0.611313350407133	FALSE	FALSE	FALSE
"APBA3"	1753.0008654903	-0.137606550908783	0.0774637861225136	-1.7763984669062	0.0756672636235334	0.148221127051828	FALSE	FALSE	FALSE
"MKS1"	3698.27572392311	-0.230311741131856	0.0531610931895039	-4.33233643843368	1.47535260653584e-05	7.16780751329861e-05	TRUE	FALSE	FALSE
"ABHD5"	1369.43607763919	0.20589400741456	0.0714316353848998	2.88239246245908	0.00394667825267155	0.0116733221188032	TRUE	FALSE	FALSE
"AKAP8L"	7967.0173831928	-0.312205359303522	0.0530883636985453	-5.88086235010624	4.08134480900568e-09	3.3438472789827e-08	TRUE	FALSE	FALSE
"MBTD1"	5931.74676117997	-0.186361817487646	0.0563186013497179	-3.30906331161188	0.000936086667517791	0.00318638522174115	TRUE	FALSE	FALSE
"UTP18"	5534.29512116097	-0.253471156978103	0.0576044653547526	-4.40019980078143	1.08151251448152e-05	5.40480770836719e-05	TRUE	FALSE	FALSE
"RNF216"	3686.90191501988	-0.124499550746158	0.0564162935157248	-2.20680131550039	0.0273279431261713	0.0631546069115193	FALSE	FALSE	FALSE
"TTC19"	1604.74329887274	0.565532632615938	0.0610761718094115	9.25946430271834	2.05460423126191e-20	5.40188591176681e-19	TRUE	FALSE	FALSE
"PTBP1"	76748.7539243561	-0.157006739852756	0.0522026124484705	-3.00764142805569	0.00263283585684755	0.00812089970014013	TRUE	FALSE	FALSE
"DPF1"	285.813602909723	0.361195429222829	0.131676660470128	2.74304822079514	0.00608717458621381	0.0171623452841694	TRUE	FALSE	FALSE
"SYT7"	3658.05861695405	0.0725388500314567	0.0607740817197394	1.19358200039897	0.232641518363747	0.359059504482632	FALSE	FALSE	FALSE
"LARS2"	4758.94098773475	-0.0932878722723766	0.0643256574093332	-1.45024358909764	0.146990603682973	0.251728720439537	FALSE	FALSE	FALSE
"PIK3C2A"	6493.20063320636	-0.252099800204375	0.0696597912006902	-3.61901458300491	0.000295726975088352	0.00112588431322875	TRUE	FALSE	FALSE
"PLAUR"	2449.86408225057	0.0132110158208764	0.0685638440872861	0.192681959372901	0.847208053026891	0.903759556487929	FALSE	FALSE	FALSE
"ANLN"	12102.5537940714	-0.287886367052675	0.0665976616762345	-4.32276989622006	1.54082413242086e-05	7.4503636739932e-05	TRUE	FALSE	FALSE
"WIZ"	5134.31725645031	-0.299203820211448	0.0530496753451827	-5.64006882727545	1.69982204919377e-08	1.28374996569208e-07	TRUE	FALSE	FALSE
"RABGAP1"	6223.68665850189	-0.274623190050721	0.0530145160988232	-5.18015083904193	2.21706549773701e-07	1.42507654832458e-06	TRUE	FALSE	FALSE
"QPCTL"	2011.12342298741	0.113740418939972	0.0688293669672288	1.6524984022318	0.0984329905793683	0.183316937761193	FALSE	FALSE	FALSE
"PPP5C"	6187.02105939986	-0.279056009388477	0.0630387548470051	-4.4267373311187	9.56691123914399e-06	4.82571886232928e-05	TRUE	FALSE	FALSE
"CEP68"	6408.96337685357	0.0968774545574096	0.0541068336918367	1.79048463839469	0.0733760346105128	0.144672686188294	FALSE	FALSE	FALSE
"MAP4K3"	4465.53640301453	0.0232076646195199	0.0554263602646527	0.418711683551053	0.675426855924835	0.777410473723348	FALSE	FALSE	FALSE
"TMEM159"	515.323766646822	0.173280316121326	0.101534448215747	1.7066160221123	0.0878934451818706	0.167202671761731	FALSE	FALSE	FALSE
"GABRA3"	621.157361990618	-0.249458446868659	0.089744369513884	-2.77965568447239	0.00544165623250738	0.0154967417740839	TRUE	FALSE	FALSE
"BRCA1"	2417.38180162809	0.133669089055097	0.058706759197044	2.27689436247789	0.0227925346252285	0.0541282850260671	FALSE	FALSE	FALSE
"ERCC1"	2897.88955991168	-0.112401530954636	0.0537339758770148	-2.09181489216243	0.0364550776637598	0.0803036391866777	FALSE	FALSE	FALSE
"CD22"	84.3761182562031	-1.35826580812616	0.235198576094628	-5.77497462220895	7.69646843328804e-09	6.1068240185622e-08	TRUE	TRUE	FALSE
"SEMA3B"	58.0916904375769	1.28127154036863	0.287694709698669	4.45358046976473	8.44500365274744e-06	4.29973499321294e-05	TRUE	TRUE	FALSE
"MBTPS2"	1756.50350740069	0.190558039198573	0.0647827633447311	2.94149291200422	0.00326634317776949	0.00985854074807156	TRUE	FALSE	FALSE
"PRICKLE3"	2247.18982863467	-0.18789967494625	0.0615302081558232	-3.05377928302144	0.00225978272073588	0.00707192946056125	TRUE	FALSE	FALSE
"EXTL3"	4339.56872605813	0.293790460399781	0.0590551072117915	4.97485271419709	6.52972682963278e-07	3.91783609777967e-06	TRUE	FALSE	FALSE
"ELOVL5"	9028.92824278725	0.301257537321485	0.0477012246370088	6.31550949926253	2.69272845246214e-10	2.62773155878202e-09	TRUE	FALSE	FALSE
"ALOX5"	1744.54003481968	0.364488659048885	0.804182154051637	0.453241417025378	0.65037491195778	0.757968334957699	FALSE	FALSE	FALSE
"KDM5D"	4852.67705086279	0.0558788652011659	0.0509505314385385	1.09672781860131	0.272760391944235	0.405291748432563	FALSE	FALSE	FALSE
"CALCOCO1"	3717.47178560622	-0.00517952003821591	0.0650502955688584	-0.0796233128984507	0.93653685306983	0.961499214901539	FALSE	FALSE	FALSE
"UBR7"	779.203608049698	-0.0741111630964216	0.102679780674456	-0.7217697837843	0.470436029741238	0.604464909951285	FALSE	FALSE	FALSE
"MAP4K5"	4241.24935050146	-0.252139397173689	0.0612966550649804	-4.11342832502681	3.89826114473435e-05	0.000175460501623828	TRUE	FALSE	FALSE
"PSMC4"	6541.19586919858	-0.384051677442544	0.0472862988266874	-8.12183839657574	4.59174480476254e-16	8.23603804065507e-15	TRUE	FALSE	FALSE
"MAN2B2"	3081.68280624802	0.391827297062795	0.0598083942048699	6.55137631217141	5.70091960767234e-11	5.98156220009947e-10	TRUE	FALSE	FALSE
"SLC25A39"	10814.348670255	0.14761048593749	0.0564449338069863	2.61512373178157	0.00891951371211156	0.0239989451205579	TRUE	FALSE	FALSE
"MVP"	468.800009758808	0.395999331315962	0.109205436376613	3.62618697800256	0.000287637115832265	0.00109816261423988	TRUE	FALSE	FALSE
"NUB1"	4509.00231758294	0.0610892403271001	0.0646626788865501	0.944737232960615	0.344793043409599	0.482083817938424	FALSE	FALSE	FALSE
"PGM3"	4558.66770165876	-0.205909978778126	0.0802063042979979	-2.56725428980108	0.010250740894465	0.0270836484006248	TRUE	FALSE	FALSE
"RWDD2A"	354.389965350658	0.0840491194764948	0.119440904826317	0.70368789987579	0.481627157405853	0.614152123552993	FALSE	FALSE	FALSE
"CLK1"	7272.05118516478	-0.108387996259433	0.128900406055564	-0.84086621273102	0.400422888475746	0.537590879329367	FALSE	FALSE	FALSE
"POLR3B"	2949.3539176776	-0.327108647494244	0.0607284432729675	-5.38641581876102	7.18765696897938e-08	4.97302880814682e-07	TRUE	FALSE	FALSE
"ANGEL1"	3243.22155084548	0.18582125398791	0.0539456512932933	3.44460117790833	0.000571902549267685	0.00203275073158952	TRUE	FALSE	FALSE
"RNF14"	2163.03893946382	0.245123796671823	0.0705472661409523	3.47460376681457	0.00051160844549471	0.00184081470693982	TRUE	FALSE	FALSE
"DNASE1L1"	1845.77774573475	0.0407904992352987	0.0694658308259813	0.587202351865378	0.557067813032221	0.68160774385063	FALSE	FALSE	FALSE
"DDX11"	8002.66572816178	0.0340825160699816	0.0554796804058699	0.614324304333512	0.539001045089107	0.666142129843855	FALSE	FALSE	FALSE
"HEBP1"	1430.49422634312	0.133331683099237	0.069256002033194	1.92520040407952	0.0542042915755914	0.112117210957695	FALSE	FALSE	FALSE
"GPRC5A"	1730.80100156201	-1.4170215096492	0.145654436364762	-9.72865327699707	2.27585965579176e-22	7.09065999180624e-21	TRUE	TRUE	FALSE
