"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"Pval_threshold"	"FC1.2_threshold"	"FC1.5_threshold"
"MTSS1L"	-0.594688162854313	8.45853620685051	-8.95558563541642	3.5971515143196e-08	1.82144030963498e-05	9.05359201506266	TRUE	FALSE	FALSE
"CDH5"	-0.598091928204804	8.149581245355	-8.950017940467	3.63146743589999e-08	1.82144030963498e-05	9.04556490136827	TRUE	FALSE	FALSE
"CYP11A1"	-0.587975319500616	7.29715523160878	-8.85084653760193	4.30334388338743e-08	2.0120338220812e-05	8.88489598024907	TRUE	FALSE	FALSE
"NTN1"	-0.581051115093179	6.63683186474369	-8.83878171906075	4.39350402619078e-08	2.0120338220812e-05	8.86861862143405	TRUE	FALSE	FALSE
"CTD-2562J17.6"	0.910583276712119	2.86326240326924	8.96169069719916	3.55991177328851e-08	1.82144030963498e-05	8.84561751595877	TRUE	FALSE	FALSE
"DPEP1"	-0.75398928587482	6.63215742478056	-8.80884602089755	4.62581639755876e-08	2.07334996236112e-05	8.81764636261168	TRUE	FALSE	FALSE
"KCNS1"	-0.92244605923199	2.88890327065967	-8.87392939899326	4.13617787629604e-08	1.98028916231937e-05	8.69233952590973	TRUE	FALSE	FALSE
"WNT6"	0.776865536502541	4.15580880197235	8.7296636773595	5.30410125217274e-08	2.28033055057696e-05	8.65052773498328	TRUE	FALSE	FALSE
"ETV4"	-0.743958703706286	3.56208114359575	-8.74444281997912	5.17005092331809e-08	2.26900609897123e-05	8.60361020058543	TRUE	FALSE	FALSE
"FYTTD1"	0.710670968380682	4.15233875482502	8.69994547138703	5.58472765768473e-08	2.35295745673573e-05	8.59287519969317	TRUE	FALSE	FALSE
"NEK6"	-0.51051713431101	7.61059844912178	-8.6682986440086	5.90062642577265e-08	2.39043454394859e-05	8.57022297432177	TRUE	FALSE	FALSE
"PLB1"	-0.81994892145544	4.14429053436824	-8.67355825570405	5.84686234703456e-08	2.39043454394859e-05	8.56689476890258	TRUE	FALSE	FALSE
"SMAD3"	-0.64024513015452	6.41117100563349	-8.65307374154387	6.05917811780681e-08	2.40835181565506e-05	8.55372779620474	TRUE	FALSE	FALSE
"NPAS2"	-0.596500371770735	5.26509229955931	-8.616594979757	6.45738351443932e-08	2.5190970576885e-05	8.49583358043055	TRUE	FALSE	FALSE
"HEY1"	-0.620815262217334	7.99518156541383	-8.55782111887233	7.15727498379311e-08	2.74136645106519e-05	8.37514297254808	TRUE	FALSE	FALSE
"USP18"	-0.567069070058807	5.43019422557115	-8.49295706552887	8.02214527021884e-08	2.98352348731703e-05	8.28468924411639	TRUE	FALSE	FALSE
"PTGFRN"	-0.65700671361713	5.47829082636619	-8.47952961634606	8.21439106922947e-08	2.98352348731703e-05	8.26085474741119	TRUE	FALSE	FALSE
"MAFF"	-0.778560233546153	3.67639152775462	-8.48915100179174	8.07615771089634e-08	2.98352348731703e-05	8.19715108861032	TRUE	FALSE	FALSE
"RGL1"	-0.548430510022514	4.95868871968432	-8.43927488789828	8.82000116485771e-08	3.04593679571955e-05	8.19051546853946	TRUE	FALSE	FALSE
"PALM2-AKAP2"	-0.789055693580937	6.86691452040649	-8.44244572281906	8.77065324917084e-08	3.04593679571955e-05	8.18587135068871	TRUE	FALSE	FALSE
"NUAK1"	-0.522693701493451	5.21501716773248	-8.41573871690376	9.19545062375723e-08	3.12437682000113e-05	8.15176146771057	TRUE	FALSE	FALSE
"GCN1"	-0.471569438243758	9.47706243881303	-8.38208121158013	9.7614969854505e-08	3.26405865865873e-05	8.05216988517139	TRUE	FALSE	FALSE
"SPRY4"	-1.05085004706988	2.74061307523599	-8.45732291393979	8.5429265541077e-08	3.04593679571955e-05	7.99602839644302	TRUE	FALSE	FALSE
"TANC2"	-0.675028750148124	8.27147429442469	-8.31537627693053	1.09930897304953e-07	3.61844419160334e-05	7.94766798394537	TRUE	FALSE	FALSE
"SLC2A1"	-0.646320561719342	11.2805545055065	-8.30165275057665	1.12659353303726e-07	3.65120297953275e-05	7.89148421538764	TRUE	FALSE	FALSE
"PPP1R15A"	-0.634151984999702	6.45219838350999	-8.26138598558371	1.21079174063084e-07	3.86462709214079e-05	7.87285184716126	TRUE	FALSE	FALSE
"FGD3"	-0.604071830631833	4.39404083347769	-8.20629769496995	1.33672222206133e-07	4.10974058597021e-05	7.78289239421857	TRUE	FALSE	FALSE
"EAF1"	-0.508025848974706	7.44808697740173	-8.20240848061902	1.3461126954901e-07	4.10974058597021e-05	7.75482160403059	TRUE	FALSE	FALSE
"NOCT"	-0.595424047794276	7.29717548643784	-8.18001253549739	1.4015392216171e-07	4.21783217751227e-05	7.71665544043023	TRUE	FALSE	FALSE
"PICALM"	-0.534493145755178	8.61519221627095	-8.1596969311967	1.45387087249418e-07	4.31369630985385e-05	7.66436783955611	TRUE	FALSE	FALSE
"NECTIN4"	-0.540075169528546	10.1070029366522	-8.13635674384787	1.51651077505859e-07	4.43705777602559e-05	7.60509475806099	TRUE	FALSE	FALSE
"AVPI1"	-0.702159741994609	4.5301289972788	-8.08764466692422	1.65645259870653e-07	4.78011375950024e-05	7.57544744529946	TRUE	FALSE	FALSE
"PTGIS"	-1.51931813178552	1.43359578306819	-8.91139636188412	3.87909820743888e-08	1.90039727530018e-05	7.52491366799995	TRUE	TRUE	TRUE
"CCDC14"	0.63362044109252	5.27439356495301	8.03322112103758	1.82880183436455e-07	5.13673859236313e-05	7.47971526922743	TRUE	FALSE	FALSE
"WLS"	-0.474713161517373	8.09982606218947	-8.04126268992222	1.80220511184474e-07	5.13043957920557e-05	7.45623793933708	TRUE	FALSE	FALSE
"TNFSF10"	-0.585705541914232	7.54080361751558	-8.01802806568942	1.88017100378439e-07	5.21153715338447e-05	7.42132264367783	TRUE	FALSE	FALSE
"ALPL"	-0.719470764751116	3.90369237781013	-7.99891355924626	1.94693740527145e-07	5.25822863839082e-05	7.39854156195145	TRUE	FALSE	FALSE
"CALHM2"	-0.74450572693784	4.88872506605252	-7.97964086504421	2.01675516828208e-07	5.31062054687879e-05	7.38819985746637	TRUE	FALSE	FALSE
"C3orf52"	-0.540357781945635	5.25887241144609	-7.95801407169778	2.09820857146535e-07	5.45689651438136e-05	7.34586593887357	TRUE	FALSE	FALSE
"ERVH48-1"	-0.429413551079824	9.64289406734812	-7.98159945975941	2.00954261351302e-07	5.31062054687879e-05	7.33114312721982	TRUE	FALSE	FALSE
"EFNA3"	-0.667454513852299	5.99943712040778	-7.95066802694022	2.12664791368709e-07	5.46341035972345e-05	7.32505502321298	TRUE	FALSE	FALSE
"STAB2"	-0.599671137480306	5.08360430606628	-7.9294711250201	2.21097676683402e-07	5.5149225773166e-05	7.29722172694384	TRUE	FALSE	FALSE
"AC106706.1"	-1.06766103758057	2.1293483212772	-8.21894092879687	1.30666324221743e-07	4.10838326276901e-05	7.26378911677105	TRUE	FALSE	FALSE
"AKR1B1"	-0.52782858429633	9.3626314794552	-7.93247604120437	2.19881378882588e-07	5.5149225773166e-05	7.24168494961443	TRUE	FALSE	FALSE
"SOX15"	-1.03872481219446	3.3995633834009	-7.9259698817898	2.22523696511873e-07	5.5149225773166e-05	7.21621854412596	TRUE	FALSE	FALSE
"NDRG1"	-0.646352067620185	8.81952952681642	-7.91216628452902	2.28239536564251e-07	5.59080706658432e-05	7.21200765529599	TRUE	FALSE	FALSE
"GRM4"	-0.527308892072835	6.41735139519688	-7.88755495609223	2.38812295188824e-07	5.7825515062618e-05	7.20125549820798	TRUE	FALSE	FALSE
"OSBPL6"	-0.700160135906834	4.1756058329316	-7.83670062199962	2.62302504432891e-07	6.27916427089009e-05	7.12362027802371	TRUE	FALSE	FALSE
"GRIK4"	-1.02816904473048	2.27993812575598	-8.00496107582017	1.92555112258731e-07	5.25822863839082e-05	7.11469628373763	TRUE	FALSE	FALSE
"ADGRE2"	-0.711329705031654	5.4889070756596	-7.81765511494114	2.71706800260805e-07	6.43120837561137e-05	7.08962178294591	TRUE	FALSE	FALSE
"FAM43A"	-0.667876982792929	5.37890603422225	-7.80813522949392	2.76538167866464e-07	6.47283671586104e-05	7.07691452176265	TRUE	FALSE	FALSE
"TMOD1"	-0.858913869171999	4.14742740863331	-7.79573177286135	2.82967181570776e-07	6.55053477689007e-05	7.05423424087553	TRUE	FALSE	FALSE
"ACTN1"	-0.539595887245351	9.38425700125385	-7.77185892669701	2.95781776701851e-07	6.77275968260999e-05	6.94567592204668	TRUE	FALSE	FALSE
"NFATC2"	-0.711066385469086	4.82002344801016	-7.73156894286152	3.1879350336802e-07	7.21779371276948e-05	6.94395586187301	TRUE	FALSE	FALSE
