SYMBOL	CTRL_R1	CTRL_R2	CTRL_R3	DMSO	SMZ_R1	SMZ_R2	SMZ_R3	TMP_R1	TMP_R2	TMP_R3	CTX_R1	CTX_R2	CTX_R3
ARHGAP23P1	66.08846841	84.52558207	75.05836431	65.02236644	45.14476465	38.21813996	62.38922936	43.30785856	58.94154907	49.09243955	89.51371309	67.51244891	64.30724479
RP11-480G7.2	0	0	1.028196771	0	0	2.123229998	5.34764823	1.082696464	0	0.944085376	0.828830677	0	0
RP11-982M15.8	3.418369056	4.914278027	3.084590314	3.422229813	7.966723174	7.431304992	6.238922936	5.413482319	4.715323926	2.832256128	3.315322707	5.626037409	4.853376965
RP5-882C2.2	37.60205961	32.43423498	40.09967409	43.63343011	92.9451037	93.4221199	74.86707523	53.05212673	58.94154907	49.09243955	48.90100993	51.57200959	53.38714662
RP11-1348G14.5	2.278912704	2.948566816	4.112787086	6.844459625	3.983361587	8.492919991	4.456373525	2.165392928	14.9318591	4.72042688	4.144153384	8.439056114	3.640032724
RP11-354M1.2	151.5476948	253.5767462	151.1449254	116.3558136	203.1514409	329.1006496	224.6012257	291.2453488	259.3428159	131.2278673	171.5679501	215.6647674	283.9225525
Z84812.4	23.92858339	32.43423498	25.70491929	29.94451086	22.57238233	41.40298496	33.86843879	31.39819745	22.79073231	33.04298816	26.52258166	25.31716834	35.186983
PKI55	78.62248828	90.4227157	62.72000306	77.85572824	87.63395492	100.8534249	102.4965911	54.13482319	62.08509836	51.92469568	96.14435851	86.26590694	71.58731024
RP11-61J19.5	45.57825408	57.00562512	42.15606763	61.60013663	55.76706222	59.45043994	49.02010878	35.72898331	57.36977443	68.91823245	33.98205775	40.31993477	38.82701572
RP11-872J21.3	180.0341036	182.8111426	169.6524673	163.4114735	159.3344635	132.7018749	155.0817987	153.7428979	151.6762529	196.3697582	177.3697648	135.9625707	166.2281611
CTD-2007L18.5	21.64967069	20.63996771	21.5921322	11.97780434	22.57238233	27.60198997	16.9342194	27.0674116	22.79073231	12.27310989	28.18024301	19.69113093	29.12026179
RP11-24M17.3	0	3.931422422	2.056393543	1.711114906	0	0	0	0	0	1.888170752	0	0	2.426688483
RP11-319G9.3	17.09184528	7.862844844	21.5921322	16.25559161	29.21131831	19.10906998	16.04294469	11.9096611	9.430647851	29.26664666	16.57661354	11.25207482	7.280065448
RP11-524O1.4	0	0.982855605	5.140983857	0.855557453	6.638935978	4.246459995	1.78254941	1.082696464	0	1.888170752	0	1.875345803	4.853376965
RP11-152F13.10	138398.3685	114413.2382	131575.2562	132845.828	133871.4884	107339.8925	118610.8378	131761.9943	124574.1428	127446.8053	113220.7569	116329.5755	131708.5174
RP11-403P17.5	254.0987665	236.8682009	265.274767	211.3226909	176.595697	239.9249897	165.7770951	227.3662574	231.8367597	215.2514657	199.7481931	209.101057	251.162258
FBXL19-AS1	260.9355046	299.7709597	316.6846056	321.6896024	264.2296519	358.8258696	283.4253562	419.0035315	365.4376042	369.137382	285.9465835	298.1799827	367.6433051
RP11-264B17.2	5.69728176	19.65711211	16.45114834	12.8333618	19.91680794	30.78683497	15.15166999	20.57123281	15.71774642	26.43439053	19.06310557	16.87811223	18.20016362
RP11-254F19.2	5.69728176	12.77712287	3.084590314	1.711114906	1.327787196	2.123229998	1.78254941	3.248089392	0.785887321	0.944085376	1.657661354	6.563710311	7.280065448
CTA-331F8.1	0	3.931422422	6.169180629	3.422229813	0	4.246459995	3.56509882	4.330785856	1.571774642	0.944085376	0.828830677	6.563710311	0
