NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
SNORA59A	1	SNORA59A	
RN7SL558P	1	RN7SL558P	
CPSF1P1	1	CPSF1P1	
ADAM11	1	ADAM11	
ADAM10	1	ADAM10	
NDFIP2-AS1	1	NDFIP2-AS1	
DHDDS	1	DHDDS	
ADAM19	1	ADAM19	
ADAM17	1	ADAM17	
BRMS1	1	BRMS1	
ADAM15	1	ADAM15	
CARD19	1	CARD19	
ADAM1A	1	ADAM1A	
PLAA	1	PLAA	
CARD18	1	CARD18	
CARD14	1	CARD14	
CARD11	1	CARD11	
RBMS2P1	1	RBMS2P1	
HTRA4	1	HTRA4	
HTRA1	1	HTRA1	
PLD5	1	PLD5	
DAPP1	1	DAPP1	
HTRA2	1	HTRA2	
PLD4	1	PLD4	
PLD6	1	PLD6	
PLD1	1	PLD1	
PLD3	1	PLD3	
PLD2	1	PLD2	
NME1-NME2	1	NME1-NME2	
GRK3	1	GRK3	
GRK2	1	GRK2	
GRK5	1	GRK5	
GRK4	1	GRK4	
ELDR	1	ELDR	
GRK7	1	GRK7	
GRK6	1	GRK6	
PIBF1	1	PIBF1	
RN7SL689P	1	RN7SL689P	
HULC	1	HULC	
ZNF350-AS1	1	ZNF350-AS1	
CHCHD10	1	CHCHD10	
FAM199X	1	FAM199X	
IGF2R	1	IGF2R	
BSPRY	1	BSPRY	
RBM22P5	1	RBM22P5	
OR7M1P	1	OR7M1P	
ZMYND15	1	ZMYND15	
ZMYND19	1	ZMYND19	
PLEK	1	PLEK	
CFAP107	1	C1orf158	
GRM1	1	GRM1	
PITPNC1	1	PITPNC1	
GRM2	1	GRM2	
GRM4	1	GRM4	
ZIC2	1	ZIC2	
CA3	1	CA3	
ZNF473CR	1	FLJ26850	
CA2	1	CA2	
GRM6	1	GRM6	
ZIC1	1	ZIC1	
MIR103A2	1	MIR103A2	
RNU6-513P	1	RNU6-513P	
CA9	1	CA9	
MYBL2	1	MYBL2	
MYBL1	1	MYBL1	
SUN3	1	SUN3	
SUN2	1	SUN2	
SUN1	1	SUN1	
ATP6AP1	1	ATP6AP1	
CKS1BP7	1	CKS1BP7	
CAD	1	CAD	
ATP6AP2	1	ATP6AP2	
HUNK	1	HUNK	
SEPTIN7P3	1	SEPT7P3	
SEPTIN7P2	1	SEPT7P2	
SUN5	1	SUN5	
ELF1	1	ELF1	
ELF2	1	ELF2	
GFOD1	1	GFOD1	
ELF3	1	ELF3	
ELF4	1	ELF4	
ELF5	1	ELF5	
CAT	1	CAT	
GFOD2	1	GFOD2	
MIR103B2	1	MIR103B2	
ZMYND10	1	ZMYND10	
ZMYND11	1	ZMYND11	
SHANK3	1	SHANK3	
ZMYND12	1	ZMYND12	
SDCBPP3	1	SDCBPP3	
SHANK2	1	SHANK2	
SHANK1	1	SHANK1	
PLEC	1	PLEC	
KRT17P2	1	KRT17P2	
RRN3	1	RRN3	
CBL	1	CBL	
GLIPR1-AS1	1	RP11-585P4.5	
SV2C	1	SV2C	
SV2A	1	SV2A	
CBS	1	CBS	
TBX20	1	TBX20	
CKS1BP3	1	CKS1BP3	
CLVS1	1	CLVS1	
RRM1	1	RRM1	
RRM2	1	RRM2	
MRPS18AP1	1	MRPS18AP1	
ATP5PBP3	1	ATP5F1P3	
ZIC4	1	ZIC4	
ZIC5	1	ZIC5	
HS3ST6	1	HS3ST6	
SUOX	1	SUOX	
TBX19	1	TBX19	
TBX15	1	TBX15	
CD4	1	CD4	
CCS	1	CCS	
NOPCHAP1	1	C12orf45	
CD6	1	CD6	
CD5	1	CD5	
CD7	1	CD7	
CD9	1	CD9	
MNX1-AS1	1	MNX1-AS1	
MNX1-AS2	1	MNX1-AS2	
CDA	1	CDA	
VPS29	1	VPS29	
RPL36AP15	1	RPL36AP15	
FRMPD1	1	FRMPD1	
RRP1	1	RRP1	
FRMPD2	1	FRMPD2	
ELK1	1	ELK1	
RRP8	1	RRP8	
ELK3	1	ELK3	
RRP9	1	RRP9	
ELK4	1	ELK4	
ALCAM	1	ALCAM	
SCN11A	1	SCN11A	
VPS35	1	VPS35	
VPS36	1	VPS36	
VPS39	1	VPS39	
VPS18	1	VPS18	
CLEC11A	1	CLEC11A	
HUS1	1	HUS1	
CEL	1	CEL	
NUP93	1	NUP93	
H3P6	1	H3F3AP4	
BCAN	1	BCAN	
BCAM	1	BCAM	
AKR1B10P1	1	AKR1B10P1	
RN7SL441P	1	RN7SL441P	
HECW2	1	HECW2	
SRFBP1	1	SRFBP1	
RN7SL574P	1	RN7SL574P	
TARS2	1	TARS2	
DLX6-AS1	1	DLX6-AS1	
TARS3	1	TARSL2	
NUP98	1	NUP98	
SNORA50A	1	SNORA50A	
SNORA50C	1	SNORA50C	
TARS1	1	TARS	
VPS25	1	VPS25	
CFB	1	CFB	
VPS28	1	VPS28	
RNF216P1	1	RNF216P1	
CFD	1	CFD	
PLEKHA8P1	1	PLEKHA8P1	
METTL25B	1	RRNAD1	
CFP	1	CFP	
RRP7A	1	RRP7A	
NUP85	1	NUP85	
ST3GAL4	1	ST3GAL4	
VPS11	1	VPS11	
RRS1	1	RRS1	
ST3GAL5	1	ST3GAL5	
NUP88	1	NUP88	
ST3GAL6	1	ST3GAL6	
CGA	1	CGA	
ST3GAL1	1	ST3GAL1	
ST3GAL2	1	ST3GAL2	
ST3GAL3	1	ST3GAL3	
VPS16	1	VPS16	
C3orf18	1	C3orf18	
PLK4	1	PLK4	
LRRC37A3	1	LRRC37A3	
NFE2	1	NFE2	
ARL14EP	1	ARL14EP	
PLK3	1	PLK3	
LRRC37A2	1	LRRC37A2	
PLK5	1	PLK5	
APOOL	1	APOOL	
SPIN4-AS1	1	SPIN4-AS1	
GTF2IRD2	1	GTF2IRD2	
MCAM	1	MCAM	
PLK2	1	PLK2	
PLK1	1	PLK1	
KLF3-AS1	1	KLF3-AS1	
CGN	1	CGN	
C3orf14	1	C3orf14	
MCAT	1	MCAT	
ELL2	1	ELL2	
ELL3	1	ELL3	
ZNF559-ZNF177	1	ZNF559-ZNF177	
CALHM6-AS1	1	RP1-93H18.6	
GTF2IRD1	1	GTF2IRD1	
RSPH10B	1	RSPH10B	
MOCS2	1	MOCS2	
MOCS3	1	MOCS3	
STON1	1	STON1	
CHM	1	CHM	
STON2	1	STON2	
MCEE	1	MCEE	
FGD5-AS1	1	FGD5-AS1	
DGUOK-AS1	1	DGUOK-AS1	
ELOA	1	TCEB3	
ELOB	1	TCEB2	
RRP12	1	RRP12	
ELOC	1	TCEB1	
CIC	1	CIC	
RRP15	1	RRP15	
ZIK1	1	ZIK1	
EDARADD	1	EDARADD	
RPS6KL1	1	RPS6KL1	
EXOC8	1	EXOC8	
PLLP	1	PLLP	
EXOC7	1	EXOC7	
CIT	1	CIT	
PCOTH	1	C1QTNF9B-AS1	
PLIN4	1	PLIN4	
EXOC4	1	EXOC4	
PLIN3	1	PLIN3	
EXOC3	1	EXOC3	
PLIN2	1	PLIN2	
EXOC6	1	EXOC6	
PLIN1	1	PLIN1	
EXOC5	1	EXOC5	
RCCD1	1	RCCD1	
MOCS1	1	MOCS1	
EXOC2	1	EXOC2	
PLIN5	1	PLIN5	
EXOC1	1	EXOC1	
NFIX	1	NFIX	
C1orf198	1	C1orf198	
PRUNE2	1	PRUNE2	
PRUNE1	1	PRUNE1	
METTL21A	1	METTL21A	
MTND1P32	1	MTND1P32	
MIR4307HG	1	MIR4307HG	
APOL4	1	APOL4	
APOL6	1	APOL6	
RRP36	1	RRP36	
CKB	1	CKB	
PAIP2	1	PAIP2	
APOL1	1	APOL1	
RNU6-531P	1	RNU6-531P	
ZIM2	1	ZIM2	
APOL3	1	APOL3	
PAIP1	1	PAIP1	
APOL2	1	APOL2	
HIPK4	1	HIPK4	
CKM	1	CKM	
MOCOS	1	MOCOS	
ELP1	1	IKBKAP	
MTND1P23	1	MTND1P23	
RFLNB	1	FAM101B	
ELP2	1	ELP2	
ELP3	1	ELP3	
RRP1B	1	RRP1B	
ELP4	1	ELP4	
HIPK1	1	HIPK1	
ELP5	1	ELP5	
ELP6	1	ELP6	
HIPK3	1	HIPK3	
HIPK2	1	HIPK2	
RFLNA	1	FAM101A	
RPL4P3	1	RPL4P3	
RPL4P4	1	RPL4P4	
HERC2P10	1	HERC2P10	
NFIA	1	NFIA	
RPL4P6	1	RPL4P6	
NFIB	1	NFIB	
NFIC	1	NFIC	
PLP1	1	PLP1	
FOSB	1	FOSB	
PLP2	1	PLP2	
MYL12BP1	1	MYL12BP1	
RBMS1P1	1	RBMS1P1	
MSX2P1	1	MSX2P1	
TMEM229B	1	TMEM229B	
C1orf174	1	C1orf174	
CLU	1	CLU	
LCLAT1	1	LCLAT1	
THG1L	1	THG1L	
MT1DP	1	MT1DP	
PODNL1	1	PODNL1	
CFL2	1	CFL2	
CFL1	1	CFL1	
PLS3	1	PLS3	
OIP5	1	OIP5	
PLS1	1	PLS1	
IL13RA1	1	IL13RA1	
KCMF1	1	KCMF1	
COL27A1	1	COL27A1	
DIO2	1	DIO2	
MIRLET7I	1	MIRLET7I	
MIRLET7G	1	MIRLET7G	
FAM91A1	1	FAM91A1	
LEMD3	1	LEMD3	
MIRLET7D	1	MIRLET7D	
LEMD2	1	LEMD2	
LEMD1	1	LEMD1	
TOM1L1	1	TOM1L1	
TOM1L2	1	TOM1L2	
OBSCN	1	OBSCN	
TBCAP1	1	TBCAP1	
TBCAP3	1	TBCAP3	
FKBP8	1	FKBP8	
FKBP7	1	FKBP7	
FKBP9	1	FKBP9	
FKBP4	1	FKBP4	
FKBP3	1	FKBP3	
FKBP5	1	FKBP5	
FKBP2	1	FKBP2	
OR7E62P	1	OR7E62P	
CNP	1	CNP	
GLUD1P2	1	GLUD1P7	
H2BC19P	1	HIST2H2BD	
EDRF1-AS1	1	EDRF1-AS1	
PLTP	1	PLTP	
MCL1	1	MCL1	
C1orf167	1	C1orf167	
TCEANC	1	TCEANC	
C1orf162	1	C1orf162	
BCL9	1	BCL9	
UBOX5	1	UBOX5	
BCL6	1	BCL6	
CPD	1	CPD	
BCL3	1	BCL3	
BCL2	1	BCL2	
GLUD1P3	1	GLUD1P3	
PGPEP1L	1	PGPEP1L	
C1orf159	1	C1orf159	
OSCP1	1	OSCP1	
SLC48A1	1	SLC48A1	
CPM	1	CPM	
MCM7	1	MCM7	
MCM8	1	MCM8	
COL14A1	1	COL14A1	
ZC3H4	1	ZC3H4	
C1orf131	1	C1orf131	
MCM9	1	MCM9	
ZC3H3	1	ZC3H3	
ZC3H8	1	ZC3H8	
ZC3H6	1	ZC3H6	
CPZ	1	CPZ	
VPS72	1	VPS72	
CEP170B	1	CEP170B	
EVI5L	1	EVI5L	
OIT3	1	OIT3	
C1orf127	1	C1orf127	
C1orf147	1	C1orf147	
DPRXP4	1	DPRXP4	
DPRXP3	1	DPRXP3	
GGPS1	1	GGPS1	
DIS3	1	DIS3	
APOA2	1	APOA2	
APOA5	1	APOA5	
HMGN2P15	1	HMGN2P15	
SAPCD2	1	SAPCD2	
SAPCD1	1	SAPCD1	
MCM3	1	MCM3	
XCL2	1	XCL2	
ST20-MTHFS	1	ST20-MTHFS	
MCM4	1	MCM4	
XCL1	1	XCL1	
MCM5	1	MCM5	
MCM6	1	MCM6	
CRK	1	CRK	
PLUT	1	PDX1-AS1	
MCM2	1	MCM2	
HDAC4	1	HDAC4	
HDAC5	1	HDAC5	
CEBPA	1	CEBPA	
C1orf112	1	C1orf112	
CEBPB	1	CEBPB	
HDAC2	1	HDAC2	
ICMT-DT	1	LINC00337	
HDAC3	1	HDAC3	
CEBPD	1	CEBPD	
HDAC1	1	HDAC1	
VPS4B	1	VPS4B	
VPS4A	1	VPS4A	
CEBPG	1	CEBPG	
TULP4	1	TULP4	
TULP3	1	TULP3	
TULP2	1	TULP2	
C1RL-AS1	1	C1RL-AS1	
TULP1	1	TULP1	
HDAC8	1	HDAC8	
HDAC9	1	HDAC9	
HDAC6	1	HDAC6	
HDAC7	1	HDAC7	
STOX2	1	STOX2	
NFS1	1	NFS1	
HECTD1	1	HECTD1	
CYP2F2P	1	CYP2F2P	
VPS51	1	VPS51	
HECTD2	1	HECTD2	
VPS50	1	VPS50	
HECTD3	1	HECTD3	
SVBP	1	SVBP	
VPS53	1	VPS53	
HECTD4	1	HECTD4	
VPS52	1	VPS52	
IL21R	1	IL21R	
XIRP1	1	XIRP1	
VPS54	1	VPS54	
XIRP2	1	XIRP2	
CSK	1	CSK	
C1orf109	1	C1orf109	
BCO2	1	BCO2	
BCO1	1	BCO1	
ANAPC10P1	1	ANAPC10P1	
RPL36AP43	1	RPL36AP43	
STOX1	1	STOX1	
C1orf105	1	C1orf105	
SLC35A2	1	SLC35A2	
SLC35A1	1	SLC35A1	
MGME1	1	MGME1	
SLC35A4	1	SLC35A4	
ITGA9-AS1	1	ITGA9-AS1	
SLC35A3	1	SLC35A3	
C1orf122	1	C1orf122	
APOC4	1	APOC4	
APOC3	1	APOC3	
APOBR	1	APOBR	
CPPED1	1	CPPED1	
ASXL1	1	ASXL1	
MAB21L3	1	MAB21L3	
MAB21L4	1	C2orf54	
CTH	1	CTH	
APOC2	1	APOC2	
ASXL2	1	ASXL2	
VPS41	1	VPS41	
APOC1	1	APOC1	
MAP3K14-AS1	1	MAP3K14-AS1	
CEBPZ	1	CEBPZ	
BCOR	1	BCOR	
VPS45	1	VPS45	
C1orf116	1	C1orf116	
DSG2-AS1	1	DSG2-AS1	
C1orf115	1	C1orf115	
SLC35B3	1	SLC35B3	
SLC35B2	1	SLC35B2	
IL1RN	1	IL1RN	
