"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"Pval_threshold"	"FC1.2_threshold"	"FC1.5_threshold"
"GABRA3"	621.157361990618	0.0289542148701707	0.0877746570070053	0.329869871982067	0.741498289136013	0.88852222051753	FALSE	FALSE	FALSE
"BRCA1"	2417.38180162809	0.164668804027839	0.0584154412222125	2.81892596516456	0.00481846304328303	0.049680522468388	TRUE	FALSE	FALSE
"ERCC1"	2897.88955991168	-0.0935566727242698	0.0534753980343316	-1.74952737451726	0.0801999011791358	0.284616605247559	FALSE	FALSE	FALSE
"MBTPS2"	1756.50350740069	0.118081354209859	0.0646429708256658	1.82666967037003	0.0677494511087375	0.258540796074097	FALSE	FALSE	FALSE
"PRICKLE3"	2247.18982863467	-0.10892760088796	0.0611313718441586	-1.78186089403731	0.0747719190622367	0.27367777686549	FALSE	FALSE	FALSE
"EXTL3"	4339.56872605813	0.070951543186431	0.0591313848821463	1.19989652411901	0.230179530084718	0.511535260755301	FALSE	FALSE	FALSE
"ELOVL5"	9028.92824278725	0.196028225186744	0.0476826593189494	4.11110093242726	3.93777005014716e-05	0.00134737177680958	TRUE	FALSE	FALSE
"ALOX5"	1744.54003481968	-0.744816910974167	0.80435602157987	-0.925979157228462	0.354456812063281	0.633438333105063	FALSE	FALSE	FALSE
"KDM5D"	4852.67705086279	0.0457731970655711	0.0508182945638905	0.900722809735842	0.367735717797042	0.646193723161285	FALSE	FALSE	FALSE
"CALCOCO1"	3717.47178560622	-0.0799622286565448	0.0649847056850843	-1.23047766106754	0.218518287253616	0.497341587608542	FALSE	FALSE	FALSE
"UBR7"	779.203608049698	0.0589022671658033	0.101816822612704	0.578512132419009	0.562918408696607	0.786700592468159	FALSE	FALSE	FALSE
"MAP4K5"	4241.24935050146	-0.0164322881254473	0.0609202447982518	-0.26973444016625	0.787364562830805	0.90853752607313	FALSE	FALSE	FALSE
"PSMC4"	6541.19586919858	-0.137473532170979	0.0469469295321618	-2.92827525763534	0.00340848146536495	0.0386625195418317	TRUE	FALSE	FALSE
"MAN2B2"	3081.68280624802	0.0862204507102974	0.0600256534620396	1.43639337079143	0.15089043843999	0.411311900739123	FALSE	FALSE	FALSE
"SLC25A39"	10814.348670255	0.0629339710958551	0.0564232142643858	1.1153914557395	0.264682709369582	0.548057013258065	FALSE	FALSE	FALSE
